Time,Day,Junction,RoadType,Weather,CarCount,BikeCount,BusCount,TruckCount,Total,IsHoliday,Traffic
01:00:00,Thursday,J2,Residential,Sunny,14,10,1,3,28,0,Low
21:15:00,Wednesday,J1,Residential,Rainy,38,23,3,2,66,0,Low
01:15:00,Sunday,J3,City,Cloudy,36,27,7,8,78,0,Low
19:45:00,Sunday,J3,Highway,Cloudy,127,61,11,10,209,1,High
19:15:00,Wednesday,J3,Highway,Rainy,125,63,12,13,213,1,High
21:30:00,Monday,J4,City,Cloudy,70,20,6,2,98,0,Medium
08:00:00,Thursday,J1,Highway,Rainy,101,48,7,9,165,0,High
17:00:00,Thursday,J1,Residential,Rainy,144,73,13,14,244,1,High
20:45:00,Sunday,J4,City,Cloudy,116,58,12,12,198,0,High
04:45:00,Monday,J3,Residential,Cloudy,45,23,2,4,74,1,Low
17:15:00,Saturday,J4,Residential,Sunny,86,37,11,9,143,0,Medium
11:00:00,Friday,J4,Highway,Sunny,0,8,3,2,13,0,Low
23:00:00,Thursday,J2,Residential,Sunny,72,32,5,8,117,1,Medium
07:15:00,Sunday,J2,Residential,Cloudy,125,65,10,15,215,1,High
11:00:00,Saturday,J2,Highway,Sunny,27,11,4,1,43,0,Low
05:15:00,Sunday,J1,Residential,Sunny,76,25,8,4,113,1,Medium
23:30:00,Saturday,J2,Residential,Cloudy,20,11,0,0,31,0,Low
00:00:00,Monday,J2,Residential,Cloudy,73,28,7,7,115,1,Medium
00:15:00,Sunday,J2,Highway,Rainy,78,42,7,9,136,1,Medium
07:45:00,Thursday,J1,Residential,Sunny,123,68,14,14,219,1,High
23:45:00,Thursday,J3,Highway,Rainy,23,16,6,3,48,0,Low
14:15:00,Thursday,J2,Highway,Sunny,52,29,9,2,92,1,Medium
16:30:00,Saturday,J1,City,Cloudy,54,23,6,5,88,0,Medium
02:45:00,Tuesday,J4,Highway,Sunny,13,8,4,0,25,0,Low
13:00:00,Tuesday,J3,Residential,Cloudy,54,34,6,7,101,1,Medium
04:30:00,Saturday,J2,City,Rainy,77,32,7,3,119,0,Medium
21:45:00,Saturday,J2,Highway,Rainy,86,42,8,10,146,1,Medium
15:30:00,Monday,J3,Residential,Sunny,50,31,1,7,89,1,Medium
13:15:00,Thursday,J1,Highway,Rainy,87,37,7,8,139,1,Medium
19:00:00,Monday,J3,Highway,Cloudy,120,54,11,9,194,1,High
04:30:00,Monday,J1,Residential,Sunny,23,14,2,0,39,0,Low
22:00:00,Thursday,J3,City,Sunny,86,51,9,9,155,1,High
16:45:00,Monday,J2,Highway,Sunny,16,11,2,0,29,0,Low
07:30:00,Thursday,J1,Residential,Cloudy,82,45,9,10,146,0,Medium
13:45:00,Saturday,J1,Highway,Cloudy,53,33,4,7,97,1,Medium
18:00:00,Thursday,J1,Residential,Rainy,92,51,11,8,162,0,High
18:30:00,Saturday,J2,Highway,Cloudy,90,42,8,7,147,0,Medium
09:30:00,Monday,J2,City,Rainy,164,81,18,16,279,1,High
02:15:00,Sunday,J4,Highway,Sunny,65,30,3,5,103,1,Medium
18:15:00,Tuesday,J3,City,Rainy,138,64,14,12,228,0,High
14:45:00,Saturday,J1,Residential,Sunny,17,5,4,5,31,0,Low
16:30:00,Friday,J1,Highway,Cloudy,21,9,4,0,34,0,Low
16:00:00,Sunday,J3,Highway,Cloudy,61,36,4,4,105,1,Medium
12:00:00,Saturday,J2,Residential,Cloudy,44,32,3,4,83,1,Medium
08:30:00,Wednesday,J3,City,Rainy,162,70,14,15,261,1,High
00:45:00,Sunday,J2,Residential,Rainy,94,44,9,6,153,1,High
10:30:00,Tuesday,J1,City,Sunny,119,53,6,13,191,0,High
06:30:00,Thursday,J1,Highway,Rainy,64,36,10,9,119,1,Medium
19:30:00,Monday,J1,City,Sunny,153,75,13,15,256,1,High
03:00:00,Tuesday,J4,Highway,Cloudy,51,29,5,4,89,1,Medium
18:30:00,Thursday,J1,City,Rainy,131,59,12,14,216,0,High
12:45:00,Friday,J4,Residential,Rainy,83,40,4,10,137,1,Medium
22:15:00,Saturday,J2,City,Sunny,34,19,2,6,61,0,Low
06:30:00,Wednesday,J1,City,Cloudy,57,34,3,6,100,0,Medium
15:45:00,Saturday,J1,City,Cloudy,59,22,4,2,87,0,Medium
10:00:00,Wednesday,J1,Highway,Sunny,119,56,12,11,198,1,High
07:45:00,Friday,J3,City,Sunny,148,76,15,12,251,1,High
11:30:00,Sunday,J3,Residential,Sunny,17,15,0,0,32,0,Low
14:00:00,Sunday,J1,Highway,Cloudy,74,43,8,6,131,1,Medium
15:30:00,Friday,J2,Residential,Rainy,73,32,5,4,114,1,Medium
21:15:00,Friday,J3,City,Sunny,85,42,10,9,146,1,Medium
12:30:00,Monday,J1,Residential,Rainy,79,41,8,6,134,1,Medium
10:30:00,Tuesday,J3,City,Rainy,122,69,14,12,217,0,High
00:45:00,Monday,J2,City,Cloudy,65,26,7,2,100,0,Medium
20:30:00,Friday,J4,Highway,Rainy,101,46,10,11,168,0,High
16:45:00,Sunday,J2,Residential,Sunny,61,27,4,4,96,1,Medium
08:00:00,Friday,J2,City,Cloudy,149,66,14,14,243,1,High
13:15:00,Tuesday,J1,Residential,Cloudy,61,32,10,6,109,1,Medium
16:15:00,Wednesday,J4,Highway,Cloudy,74,38,8,8,128,1,Medium
13:45:00,Saturday,J3,Highway,Cloudy,57,26,6,7,96,1,Medium
14:00:00,Thursday,J2,Residential,Rainy,93,40,9,6,148,1,Medium
16:45:00,Sunday,J2,Residential,Sunny,20,0,1,2,23,0,Low
17:30:00,Wednesday,J4,Highway,Sunny,95,44,13,8,160,0,High
09:30:00,Friday,J3,Highway,Sunny,118,50,12,13,193,1,High
23:45:00,Monday,J4,City,Rainy,91,52,14,10,167,1,High
03:30:00,Tuesday,J1,Residential,Cloudy,5,10,0,0,15,0,Low
22:15:00,Friday,J3,City,Cloudy,92,40,9,10,151,1,High
07:45:00,Wednesday,J2,City,Cloudy,147,79,13,15,254,1,High
12:00:00,Saturday,J3,Residential,Cloudy,72,26,8,2,108,1,Medium
18:00:00,Sunday,J1,Highway,Cloudy,93,41,6,5,145,0,Medium
06:00:00,Saturday,J1,Highway,Rainy,63,47,5,9,124,1,Medium
19:00:00,Thursday,J4,Residential,Cloudy,134,49,12,13,208,1,High
07:45:00,Wednesday,J2,Residential,Cloudy,63,34,7,4,108,0,Medium
22:45:00,Thursday,J4,Residential,Rainy,101,46,6,6,159,1,High
02:45:00,Wednesday,J1,City,Rainy,76,36,1,7,120,0,Medium
08:15:00,Sunday,J2,Highway,Rainy,109,50,10,12,181,0,High
02:00:00,Tuesday,J1,Residential,Cloudy,9,5,1,0,15,0,Low
05:15:00,Friday,J3,City,Sunny,51,19,6,6,82,0,Medium
22:15:00,Tuesday,J3,Highway,Cloudy,55,29,4,2,90,1,Medium
06:00:00,Sunday,J4,Highway,Sunny,65,32,4,7,108,1,Medium
05:45:00,Monday,J2,City,Sunny,103,43,10,7,163,1,High
14:45:00,Wednesday,J2,Residential,Cloudy,54,22,10,7,93,1,Medium
13:45:00,Sunday,J1,City,Cloudy,55,24,1,7,87,0,Medium
09:45:00,Wednesday,J3,Residential,Sunny,88,42,9,4,143,0,Medium
22:15:00,Wednesday,J1,Residential,Cloudy,89,38,10,3,140,1,Medium
16:00:00,Wednesday,J3,Residential,Cloudy,60,32,3,5,100,1,Medium
12:00:00,Monday,J1,Highway,Sunny,53,29,5,7,94,1,Medium
00:00:00,Thursday,J3,Highway,Cloudy,29,9,0,2,40,0,Low
15:45:00,Saturday,J1,Highway,Cloudy,52,25,7,3,87,1,Medium
07:00:00,Wednesday,J2,Residential,Cloudy,89,38,8,11,146,0,Medium
04:00:00,Friday,J4,Residential,Rainy,93,46,6,8,153,1,High
16:15:00,Thursday,J4,Highway,Sunny,63,26,5,7,101,1,Medium
09:15:00,Saturday,J4,Residential,Rainy,134,76,13,13,236,1,High
07:15:00,Saturday,J1,Residential,Cloudy,123,64,11,9,207,1,High
05:30:00,Friday,J3,Residential,Cloudy,24,13,3,4,44,0,Low
10:00:00,Tuesday,J4,City,Cloudy,159,69,14,16,258,1,High
09:15:00,Saturday,J1,Residential,Cloudy,133,63,13,10,219,1,High
07:15:00,Friday,J3,Highway,Cloudy,72,42,5,4,123,0,Medium
01:45:00,Thursday,J4,Residential,Sunny,47,35,5,7,94,1,Medium
21:45:00,Friday,J3,Highway,Sunny,18,10,5,4,37,0,Low
03:45:00,Wednesday,J3,Residential,Cloudy,18,7,2,2,29,0,Low
15:15:00,Friday,J1,City,Rainy,70,35,7,5,117,0,Medium
22:00:00,Wednesday,J2,City,Sunny,93,39,12,9,153,1,High
01:30:00,Friday,J3,Highway,Cloudy,11,10,0,1,22,0,Low
00:45:00,Tuesday,J1,Residential,Cloudy,28,5,0,1,34,0,Low
17:00:00,Saturday,J2,Residential,Cloudy,128,56,10,11,205,1,High
14:45:00,Thursday,J4,City,Sunny,92,37,10,9,148,1,Medium
18:30:00,Sunday,J2,City,Cloudy,114,45,11,14,184,0,High
18:45:00,Monday,J2,Residential,Cloudy,121,56,12,11,200,1,High
16:15:00,Thursday,J3,Highway,Cloudy,13,12,3,0,28,0,Low
08:45:00,Friday,J1,Residential,Rainy,110,75,12,14,211,1,High
23:45:00,Friday,J4,City,Rainy,71,40,7,9,127,0,Medium
14:30:00,Sunday,J4,City,Sunny,56,22,7,3,88,0,Medium
23:30:00,Saturday,J4,City,Cloudy,100,47,8,10,165,1,High
15:45:00,Wednesday,J2,Highway,Cloudy,9,8,5,7,29,0,Low
08:30:00,Tuesday,J3,Highway,Cloudy,113,58,12,11,194,1,High
16:45:00,Sunday,J4,City,Sunny,75,36,9,6,126,1,Medium
13:30:00,Monday,J4,Highway,Sunny,39,3,1,1,44,0,Low
22:45:00,Saturday,J2,Residential,Cloudy,20,18,0,0,38,0,Low
04:00:00,Tuesday,J2,Highway,Cloudy,64,26,4,5,99,1,Medium
18:15:00,Saturday,J4,Highway,Cloudy,115,55,10,11,191,1,High
22:30:00,Tuesday,J2,City,Cloudy,87,51,6,9,153,1,High
13:00:00,Thursday,J2,City,Cloudy,67,46,6,11,130,1,Medium
12:15:00,Wednesday,J3,Highway,Cloudy,15,5,5,3,28,0,Low
18:00:00,Thursday,J3,Residential,Rainy,99,51,6,8,164,0,High
14:15:00,Friday,J3,Highway,Sunny,21,21,4,0,46,0,Low
05:00:00,Monday,J2,Highway,Cloudy,53,34,3,11,101,1,Medium
01:30:00,Saturday,J1,Residential,Sunny,78,28,7,6,119,1,Medium
05:45:00,Friday,J1,Residential,Sunny,34,15,0,0,49,0,Low
21:15:00,Sunday,J3,Highway,Cloudy,22,7,0,0,29,0,Low
11:15:00,Tuesday,J4,Highway,Rainy,68,50,7,11,136,1,Medium
03:45:00,Friday,J3,City,Rainy,122,56,16,10,204,1,High
15:45:00,Friday,J4,City,Sunny,98,45,10,8,161,1,High
23:30:00,Monday,J2,Residential,Sunny,54,26,4,5,89,1,Medium
12:30:00,Friday,J4,Residential,Sunny,49,21,4,7,81,1,Medium
06:15:00,Sunday,J2,Residential,Rainy,18,20,3,4,45,0,Low
06:00:00,Monday,J1,Residential,Rainy,82,48,9,10,149,1,Medium
16:00:00,Wednesday,J1,Highway,Sunny,43,11,1,3,58,0,Low
15:15:00,Sunday,J4,City,Cloudy,46,27,4,8,85,0,Medium
08:00:00,Thursday,J2,Highway,Cloudy,57,32,7,10,106,0,Medium
03:45:00,Sunday,J4,Residential,Cloudy,41,28,2,7,78,1,Low
14:45:00,Sunday,J3,Highway,Sunny,69,30,7,3,109,1,Medium
15:15:00,Tuesday,J4,City,Rainy,62,39,6,12,119,0,Medium
10:00:00,Sunday,J4,Highway,Rainy,141,69,15,12,237,1,High
11:45:00,Thursday,J3,Highway,Rainy,89,43,5,9,146,1,Medium
12:00:00,Sunday,J1,Highway,Rainy,71,40,10,5,126,1,Medium
23:15:00,Thursday,J1,City,Rainy,76,35,8,7,126,0,Medium
09:45:00,Tuesday,J1,Highway,Sunny,108,55,10,10,183,1,High
13:45:00,Friday,J3,Highway,Cloudy,9,12,4,0,25,0,Low
21:00:00,Wednesday,J4,City,Sunny,91,44,7,6,148,1,Medium
23:30:00,Friday,J4,Highway,Cloudy,74,25,8,7,114,1,Medium
07:30:00,Monday,J2,City,Rainy,168,87,12,16,283,1,High
09:45:00,Friday,J2,City,Rainy,108,63,14,11,196,0,High
22:00:00,Saturday,J3,Highway,Cloudy,23,13,3,4,43,0,Low
08:15:00,Thursday,J3,City,Sunny,151,72,16,15,254,1,High
03:30:00,Friday,J1,City,Sunny,101,48,7,12,168,1,High
22:30:00,Saturday,J3,City,Sunny,96,43,10,6,155,1,High
14:45:00,Monday,J4,City,Cloudy,39,28,3,5,75,0,Low
00:15:00,Tuesday,J3,City,Rainy,76,31,9,10,126,0,Medium
19:30:00,Monday,J3,City,Rainy,167,83,15,21,286,1,High
03:15:00,Thursday,J1,City,Rainy,97,53,14,13,177,1,High
05:45:00,Sunday,J3,Residential,Rainy,86,37,12,13,148,1,Medium
06:15:00,Monday,J2,Residential,Rainy,76,35,8,9,128,1,Medium
06:45:00,Friday,J4,Highway,Cloudy,26,19,4,2,51,0,Low
20:00:00,Saturday,J4,Residential,Sunny,116,53,10,9,188,1,High
05:30:00,Sunday,J2,Highway,Sunny,55,5,0,6,66,0,Low
03:15:00,Monday,J3,City,Cloudy,55,24,4,3,86,0,Medium
00:45:00,Wednesday,J3,City,Sunny,54,29,3,5,91,0,Medium
15:30:00,Monday,J1,Residential,Sunny,21,1,5,2,29,0,Low
14:00:00,Wednesday,J3,Highway,Cloudy,52,37,4,5,98,1,Medium
04:45:00,Sunday,J2,City,Rainy,99,52,10,7,168,1,High
20:00:00,Friday,J3,City,Rainy,163,81,17,15,276,1,High
01:15:00,Saturday,J1,Highway,Sunny,65,28,9,2,104,1,Medium
21:30:00,Wednesday,J4,City,Cloudy,42,30,6,0,78,0,Low
21:30:00,Wednesday,J4,Highway,Rainy,82,39,8,7,136,1,Medium
18:00:00,Tuesday,J4,Highway,Rainy,136,69,13,11,229,1,High
16:45:00,Sunday,J1,Highway,Cloudy,63,24,7,7,101,1,Medium
09:15:00,Thursday,J4,Highway,Cloudy,129,56,7,10,202,1,High
14:15:00,Monday,J4,Highway,Sunny,46,27,4,5,82,1,Medium
23:00:00,Wednesday,J1,Highway,Rainy,35,20,4,3,62,0,Low
11:00:00,Friday,J3,Highway,Sunny,55,28,4,3,90,1,Medium
12:15:00,Tuesday,J2,Residential,Cloudy,77,35,5,6,123,1,Medium
18:15:00,Saturday,J1,Highway,Sunny,81,37,5,5,128,0,Medium
23:15:00,Saturday,J2,Residential,Rainy,72,42,6,7,127,1,Medium
07:30:00,Tuesday,J4,Highway,Cloudy,75,40,5,5,125,0,Medium
23:45:00,Wednesday,J3,City,Sunny,48,24,3,3,78,0,Low
16:30:00,Monday,J3,City,Rainy,109,59,9,10,187,1,High
05:30:00,Thursday,J2,City,Sunny,86,51,6,8,151,1,High
03:45:00,Saturday,J2,City,Cloudy,75,46,10,12,143,1,Medium
10:30:00,Wednesday,J1,City,Rainy,163,82,16,17,278,1,High
10:45:00,Friday,J3,Residential,Rainy,118,50,9,10,187,0,High
02:45:00,Saturday,J4,Highway,Rainy,87,45,5,6,143,1,Medium
14:45:00,Wednesday,J4,City,Sunny,75,44,11,6,136,1,Medium
06:00:00,Saturday,J3,Residential,Sunny,20,14,0,0,34,0,Low
08:45:00,Sunday,J2,Highway,Rainy,100,69,7,8,184,0,High
02:45:00,Tuesday,J2,Residential,Rainy,84,46,6,9,145,1,Medium
00:30:00,Wednesday,J2,Highway,Rainy,29,11,3,0,43,0,Low
17:15:00,Monday,J3,City,Rainy,128,67,13,16,224,0,High
00:15:00,Monday,J4,Highway,Cloudy,36,27,7,2,72,1,Low
02:30:00,Friday,J2,City,Sunny,91,39,9,6,145,1,Medium
04:00:00,Saturday,J3,Residential,Sunny,59,25,8,4,96,1,Medium
01:30:00,Wednesday,J1,Residential,Cloudy,60,25,5,7,97,1,Medium
16:00:00,Monday,J2,Highway,Rainy,67,32,6,11,116,1,Medium
14:30:00,Saturday,J4,Highway,Cloudy,28,10,1,2,41,0,Low
15:15:00,Thursday,J3,Highway,Rainy,74,33,8,10,125,1,Medium
08:30:00,Saturday,J2,City,Cloudy,151,72,11,14,248,1,High
08:15:00,Wednesday,J4,Residential,Sunny,66,41,6,8,121,0,Medium
01:00:00,Monday,J4,Highway,Sunny,27,14,2,2,45,0,Low
00:30:00,Saturday,J2,Residential,Cloudy,13,2,1,2,18,0,Low
02:30:00,Sunday,J1,Highway,Sunny,70,33,9,6,118,1,Medium
02:30:00,Thursday,J1,Highway,Rainy,74,41,10,8,133,1,Medium
17:30:00,Tuesday,J1,Highway,Sunny,122,48,13,9,192,1,High
19:00:00,Tuesday,J4,City,Sunny,153,80,14,13,260,1,High
02:15:00,Monday,J4,Residential,Cloudy,20,0,0,0,20,0,Low
01:30:00,Tuesday,J1,Residential,Cloudy,43,25,7,4,79,1,Low
04:00:00,Saturday,J4,Highway,Sunny,58,31,6,5,100,1,Medium
05:15:00,Saturday,J3,City,Rainy,84,49,12,8,153,1,High
11:15:00,Wednesday,J3,Highway,Cloudy,44,24,6,6,80,1,Medium
07:15:00,Monday,J1,City,Cloudy,95,57,5,9,166,0,High
00:45:00,Thursday,J1,Highway,Cloudy,58,31,4,6,99,1,Medium
17:15:00,Tuesday,J1,City,Rainy,159,63,13,10,245,0,High
17:45:00,Saturday,J4,Highway,Cloudy,118,62,10,11,201,1,High
06:45:00,Sunday,J1,City,Sunny,54,26,6,4,90,0,Medium
14:15:00,Wednesday,J3,Residential,Sunny,10,6,1,0,17,0,Low
19:30:00,Tuesday,J4,Residential,Rainy,85,55,9,11,160,0,High
11:45:00,Friday,J2,Highway,Sunny,0,11,0,4,15,0,Low
01:15:00,Sunday,J3,Residential,Cloudy,21,13,2,1,37,0,Low
10:00:00,Friday,J3,Residential,Rainy,108,46,9,8,171,0,High
21:15:00,Tuesday,J2,City,Sunny,36,30,5,6,77,0,Low
10:00:00,Saturday,J4,Residential,Cloudy,138,56,11,13,218,1,High
04:15:00,Friday,J4,Residential,Rainy,66,43,4,5,118,1,Medium
23:00:00,Friday,J1,Residential,Rainy,83,34,6,8,131,1,Medium
19:15:00,Wednesday,J3,City,Rainy,151,81,17,21,270,1,High
22:00:00,Sunday,J3,Highway,Sunny,63,32,4,5,104,1,Medium
03:00:00,Sunday,J1,Residential,Cloudy,29,6,2,2,39,0,Low
09:30:00,Wednesday,J1,City,Rainy,134,67,14,12,227,0,High
21:45:00,Tuesday,J3,Highway,Cloudy,62,23,4,2,91,1,Medium
11:00:00,Saturday,J3,City,Sunny,95,43,10,8,156,1,High
02:45:00,Thursday,J1,City,Cloudy,58,27,2,7,94,0,Medium
03:15:00,Sunday,J2,Residential,Cloudy,14,15,1,4,34,0,Low
00:15:00,Sunday,J1,Highway,Sunny,66,31,10,7,114,1,Medium
19:15:00,Friday,J2,Residential,Rainy,140,65,15,10,230,1,High
18:15:00,Friday,J4,Highway,Cloudy,78,37,7,8,130,0,Medium
16:15:00,Tuesday,J2,City,Cloudy,56,21,6,4,87,0,Medium
13:45:00,Tuesday,J4,Residential,Cloudy,74,19,6,5,104,1,Medium
01:00:00,Sunday,J4,City,Cloudy,79,39,9,11,138,1,Medium
21:15:00,Monday,J1,City,Cloudy,95,48,11,7,161,1,High
12:45:00,Monday,J4,Highway,Rainy,43,17,10,6,76,0,Low
17:45:00,Sunday,J2,Highway,Rainy,97,38,10,6,151,0,High
16:45:00,Friday,J1,Residential,Sunny,23,8,1,2,34,0,Low
13:00:00,Wednesday,J3,Highway,Rainy,29,25,1,3,58,0,Low
04:00:00,Wednesday,J2,City,Cloudy,38,19,6,4,67,0,Low
08:00:00,Tuesday,J2,City,Sunny,118,55,10,9,192,0,High
18:30:00,Monday,J1,Residential,Rainy,156,71,14,16,257,1,High
22:00:00,Sunday,J1,Residential,Cloudy,28,12,1,2,43,0,Low
09:30:00,Monday,J4,City,Sunny,105,56,11,13,185,0,High
14:00:00,Sunday,J1,Residential,Cloudy,44,25,3,6,78,1,Low
04:45:00,Monday,J1,Residential,Cloudy,54,32,6,3,95,1,Medium
08:15:00,Monday,J1,City,Sunny,150,77,16,12,255,1,High
21:15:00,Thursday,J1,City,Sunny,41,23,7,1,72,0,Low
08:30:00,Thursday,J1,Highway,Cloudy,79,38,4,8,129,0,Medium
05:45:00,Tuesday,J4,Residential,Rainy,38,16,3,4,61,0,Low
03:00:00,Wednesday,J1,Residential,Cloudy,49,30,5,8,92,1,Medium
14:45:00,Wednesday,J1,Highway,Rainy,44,19,2,3,68,0,Low
21:30:00,Saturday,J3,Highway,Sunny,14,7,5,0,26,0,Low
20:30:00,Tuesday,J3,Residential,Cloudy,114,63,14,14,205,1,High
09:30:00,Monday,J1,Residential,Cloudy,121,61,12,15,209,1,High
01:45:00,Tuesday,J3,Highway,Sunny,68,34,6,3,111,1,Medium
09:00:00,Wednesday,J1,City,Sunny,90,62,12,10,174,0,High
00:45:00,Monday,J3,Residential,Cloudy,55,35,3,6,99,1,Medium
01:00:00,Thursday,J4,Residential,Sunny,23,3,5,2,33,0,Low
14:00:00,Friday,J3,Residential,Sunny,66,34,6,5,111,1,Medium
00:45:00,Wednesday,J3,Residential,Cloudy,60,20,2,7,89,1,Medium
17:45:00,Sunday,J2,Residential,Sunny,84,45,5,9,143,0,Medium
09:00:00,Wednesday,J4,Highway,Cloudy,63,38,11,10,122,0,Medium
05:30:00,Tuesday,J3,City,Rainy,88,33,5,3,129,0,Medium
06:15:00,Monday,J4,City,Rainy,108,56,9,9,182,1,High
12:15:00,Thursday,J3,City,Rainy,52,37,8,6,103,0,Medium
05:45:00,Monday,J3,Residential,Cloudy,60,27,6,7,100,1,Medium
09:00:00,Sunday,J4,City,Rainy,134,67,14,13,228,0,High
04:30:00,Saturday,J2,City,Rainy,70,36,5,5,116,0,Medium
22:45:00,Saturday,J1,Highway,Rainy,35,27,5,9,76,0,Low
20:30:00,Saturday,J2,City,Rainy,186,87,16,19,308,1,High
04:15:00,Sunday,J3,City,Sunny,53,31,7,5,96,0,Medium
03:30:00,Tuesday,J3,Residential,Cloudy,63,28,4,2,97,1,Medium
02:45:00,Monday,J2,Residential,Cloudy,7,3,2,0,12,0,Low
15:00:00,Saturday,J4,Highway,Cloudy,56,27,5,6,94,1,Medium
20:30:00,Thursday,J2,Highway,Rainy,108,49,10,9,176,0,High
20:30:00,Saturday,J4,Highway,Sunny,78,32,7,9,126,0,Medium
05:15:00,Saturday,J3,Highway,Sunny,11,15,2,2,30,0,Low
14:00:00,Friday,J1,City,Cloudy,102,32,5,6,145,1,Medium
17:30:00,Saturday,J2,Residential,Sunny,79,39,10,14,142,0,Medium
22:00:00,Thursday,J2,Highway,Cloudy,50,22,7,7,86,1,Medium
10:15:00,Sunday,J2,City,Rainy,144,67,8,11,230,0,High
19:00:00,Sunday,J3,City,Cloudy,154,70,15,17,256,1,High
15:00:00,Saturday,J4,Residential,Rainy,72,46,7,10,135,1,Medium
19:45:00,Friday,J3,Highway,Rainy,113,53,8,8,182,0,High
12:15:00,Saturday,J2,Residential,Cloudy,25,4,2,0,31,0,Low
09:30:00,Sunday,J2,City,Cloudy,95,50,11,9,165,0,High
06:30:00,Saturday,J4,Highway,Cloudy,60,33,6,6,105,1,Medium
16:00:00,Tuesday,J1,Highway,Cloudy,8,17,3,3,31,0,Low
10:00:00,Tuesday,J1,City,Sunny,159,74,13,15,261,1,High
03:00:00,Saturday,J4,Highway,Cloudy,29,6,1,0,36,0,Low
16:00:00,Tuesday,J2,City,Cloudy,84,37,6,10,137,1,Medium
15:00:00,Saturday,J4,Residential,Cloudy,82,34,2,7,125,1,Medium
13:30:00,Tuesday,J1,City,Rainy,80,31,8,3,122,0,Medium
02:30:00,Saturday,J4,Highway,Cloudy,29,11,1,1,42,0,Low
09:45:00,Tuesday,J1,Residential,Rainy,123,47,8,17,195,0,High
04:00:00,Monday,J4,Residential,Rainy,77,41,5,11,134,1,Medium
10:15:00,Sunday,J2,Highway,Rainy,117,48,12,8,185,0,High
03:45:00,Friday,J2,Highway,Rainy,98,33,9,5,145,1,Medium
02:00:00,Thursday,J2,Residential,Sunny,69,28,4,8,109,1,Medium
21:00:00,Saturday,J1,Highway,Sunny,4,7,1,1,13,0,Low
17:00:00,Friday,J3,Residential,Rainy,151,74,13,13,251,1,High
12:00:00,Friday,J2,Residential,Sunny,56,30,5,2,93,1,Medium
06:00:00,Friday,J4,Highway,Rainy,84,40,10,7,141,1,Medium
15:30:00,Tuesday,J4,Highway,Cloudy,20,13,0,3,36,0,Low
13:00:00,Friday,J1,Residential,Rainy,38,11,0,6,55,0,Low
13:45:00,Friday,J2,Highway,Cloudy,59,26,9,6,100,1,Medium
09:15:00,Monday,J3,Residential,Cloudy,74,44,7,8,133,0,Medium
23:30:00,Tuesday,J2,Residential,Sunny,56,32,3,3,94,1,Medium
03:15:00,Thursday,J4,Residential,Rainy,85,38,6,6,135,1,Medium
22:15:00,Wednesday,J1,City,Cloudy,93,46,10,8,157,1,High
16:45:00,Friday,J3,Residential,Cloudy,74,27,3,7,111,1,Medium
11:15:00,Thursday,J3,Residential,Rainy,39,23,4,1,67,0,Low
18:45:00,Monday,J1,Residential,Sunny,86,38,5,5,134,0,Medium
22:00:00,Monday,J4,Residential,Cloudy,56,39,5,5,105,1,Medium
